"","date","CC","treatment","si","ph","tmp","mnfe","param","value"
"156",2023-03-24,41,"O","0","0","-1","0","True Colour",4
"157",2023-03-24,16,"P","0","0","0","0","Apparent Colour",18
"158",2023-03-24,16,"P","0","0","0","0","True Colour",4
"159",2023-03-24,42,"P","0","0","0","0","Apparent Colour",17
"160",2023-03-24,42,"P","0","0","0","0","True Colour",3
"161",2023-03-24,17,"Q","0","0","0","1","Apparent Colour",30
"162",2023-03-24,17,"Q","0","0","0","1","True Colour",4
"163",2023-03-24,43,"Q","0","0","0","1","Apparent Colour",28
"164",2023-03-24,43,"Q","0","0","0","1","True Colour",4
"165",2023-03-24,18,"R","-1","1","-1","-1","Apparent Colour",6
"166",2023-03-24,18,"R","-1","1","-1","-1","True Colour",1
"167",2023-03-24,44,"R","-1","1","-1","-1","Apparent Colour",3
"168",2023-03-24,44,"R","-1","1","-1","-1","True Colour",1
"169",2023-03-24,19,"S","1","1","-1","-1","Apparent Colour",3
"170",2023-03-24,19,"S","1","1","-1","-1","True Colour",1
"171",2023-03-24,45,"S","1","1","-1","-1","Apparent Colour",3
"172",2023-03-24,45,"S","1","1","-1","-1","True Colour",NA
"173",2023-03-24,20,"T","-1","1","1","-1","Apparent Colour",3
"174",2023-03-24,20,"T","-1","1","1","-1","True Colour",0
"175",2023-03-24,46,"T","-1","1","1","-1","Apparent Colour",3
"176",2023-03-24,46,"T","-1","1","1","-1","True Colour",2
"177",2023-03-24,21,"U","1","1","1","-1","Apparent Colour",6
"178",2023-03-24,21,"U","1","1","1","-1","True Colour",3
"179",2023-03-24,47,"U","1","1","1","-1","Apparent Colour",6
"180",2023-03-24,47,"U","1","1","1","-1","True Colour",0
"181",2023-03-24,22,"V","0","1","0","0","Apparent Colour",NA
"182",2023-03-24,22,"V","0","1","0","0","True Colour",NA
"183",2023-03-24,48,"V","0","1","0","0","Apparent Colour",NA
"184",2023-03-24,48,"V","0","1","0","0","True Colour",NA
"185",2023-03-24,23,"W","-1","1","-1","1","Apparent Colour",51
"186",2023-03-24,23,"W","-1","1","-1","1","True Colour",3
"187",2023-03-24,49,"W","-1","1","-1","1","Apparent Colour",57
"188",2023-03-24,49,"W","-1","1","-1","1","True Colour",3
"189",2023-03-24,24,"X","1","1","-1","1","Apparent Colour",41
"190",2023-03-24,24,"X","1","1","-1","1","True Colour",6
"191",2023-03-24,50,"X","1","1","-1","1","Apparent Colour",45
"192",2023-03-24,50,"X","1","1","-1","1","True Colour",7
"193",2023-03-24,25,"Y","-1","1","1","1","Apparent Colour",52
"194",2023-03-24,25,"Y","-1","1","1","1","True Colour",7
"195",2023-03-24,51,"Y","-1","1","1","1","Apparent Colour",49
"196",2023-03-24,51,"Y","-1","1","1","1","True Colour",5
"197",2023-03-24,26,"K","1","1","1","1","Apparent Colour",NA
"198",2023-03-24,26,"K","1","1","1","1","True Colour",NA
"199",2023-03-24,52,"K","1","1","1","1","Apparent Colour",NA
"200",2023-03-24,52,"K","1","1","1","1","True Colour",NA
